No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.129652,-0.119646,-0.144173,0.010005999999999987,0.014521000000000006,0.012263499999999997
2,C,0.065544,0.058853,0.075265,-0.0066910000000000025,-0.009720999999999994,-0.008205999999999998
3,C,-0.189477,-0.196383,-0.182627,-0.0069059999999999955,-0.006849999999999995,-0.006877999999999995
4,C,-0.282532,-0.281055,-0.284083,0.001477000000000006,0.001550999999999969,0.0015139999999999876
5,C,-0.338612,-0.337098,-0.340067,0.0015140000000000153,0.001454999999999984,0.0014844999999999997
6,C,-0.088442,-0.091172,-0.085492,-0.0027299999999999963,-0.002950000000000008,-0.0028400000000000022
7,N,-0.442831,-0.43972,-0.445857,0.003110999999999975,0.0030260000000000287,0.0030685000000000018
8,C,0.493443,0.496175,0.489633,0.0027319999999999567,0.0038100000000000356,0.003270999999999996
9,O,-0.398231,-0.405629,-0.380583,-0.007398000000000016,-0.017647999999999997,-0.012523000000000006
10,C,-0.501249,-0.497037,-0.501806,0.004211999999999938,0.0005570000000000297,0.002384499999999984
11,C,0.427086,0.426146,0.42315,-0.0009399999999999964,0.003935999999999995,0.0014979999999999993
12,O,-0.375675,-0.376135,-0.393652,-0.00046000000000001595,0.01797700000000002,0.008758500000000002
13,N,-0.469028,-0.475996,-0.457451,-0.006967999999999974,-0.011577000000000004,-0.009272499999999989
14,C,-0.120601,-0.124361,-0.123993,-0.0037599999999999995,0.003392000000000006,-0.00018399999999999667
15,C,-0.264406,-0.259548,-0.270357,0.0048579999999999735,0.00595100000000004,0.0054045000000000065
16,C,-0.184022,-0.185146,-0.145071,-0.0011240000000000139,-0.038950999999999986,-0.0200375
17,C,-0.04113,-0.027889,-0.13019,0.013241,0.08906,0.0511505
18,C,-0.227446,-0.26019,-0.280905,-0.03274399999999997,0.053459000000000007,0.01035750000000002
19,Br,0.033545,0.115984,-0.117017,0.08243900000000001,0.150562,0.1165005
20,C,0.270039,0.261971,0.270393,-0.008067999999999964,-0.00035400000000002096,-0.0042109999999999925
21,O,-0.30158,-0.298006,-0.32796,0.0035740000000000216,0.02637999999999996,0.01497699999999999
22,C,0.039585,0.040398,-0.058453,0.0008130000000000012,0.098038,0.0494255
23,C,-0.130425,-0.122002,-0.178281,0.008423000000000014,0.04785599999999998,0.028139499999999998
24,C,-0.114201,-0.132239,-0.115799,-0.018038,0.0015980000000000022,-0.008219999999999998
25,C,0.001725,0.015572,-0.119764,0.013847000000000002,0.121489,0.06766799999999999
26,C,0.442527,0.440167,0.455942,-0.0023600000000000287,-0.01341500000000001,-0.00788750000000002
27,O,-0.414811,-0.390532,-0.425666,0.024278999999999995,0.010855000000000004,0.017567
28,N,-0.433748,-0.440279,-0.439721,-0.0065309999999999535,0.005972999999999951,-0.00027900000000000147
29,C,-0.079125,-0.083304,-0.071718,-0.004179000000000002,-0.007406999999999997,-0.0057929999999999995
30,C,-0.37242,-0.361165,-0.375802,0.01125499999999996,0.0033820000000000516,0.0073185000000000056
31,C,-0.076961,-0.032547,-0.075214,0.044414,-0.0017469999999999986,0.021333500000000002
32,C,-0.186569,-0.161906,-0.194923,0.024663000000000018,0.008354,0.01650850000000001
33,C,-0.1353,-0.066915,-0.137836,0.068385,0.0025359999999999827,0.03546049999999999
34,C,0.184949,0.208955,0.198781,0.024006,-0.013832000000000011,0.005086999999999994
35,O,-0.357831,-0.257319,-0.360049,0.10051199999999999,0.0022179999999999978,0.051364999999999994
36,C,-0.233789,-0.264673,-0.228086,-0.030883999999999995,-0.005702999999999986,-0.01829349999999999
37,C,-0.179209,-0.121932,-0.153012,0.05727700000000001,-0.026196999999999998,0.015540000000000005
38,C,-0.068483,-0.03103,-0.056625,0.037453,-0.011858,0.012797500000000002
39,H,0.136134,0.141973,0.128667,0.005838999999999983,0.007467000000000001,0.006652999999999992
40,H,0.202449,0.200996,0.202175,-0.001452999999999982,0.00027399999999999647,-0.0005894999999999928
41,H,0.178771,0.186688,0.17011,0.00791699999999998,0.008661000000000002,0.00828899999999999
42,H,0.172822,0.180232,0.164145,0.00741,0.00867699999999999,0.008043499999999995
43,H,0.166912,0.177783,0.155624,0.010870999999999992,0.011287999999999992,0.011079499999999992
44,H,0.162045,0.161825,0.163003,-0.00021999999999999797,-0.0009580000000000144,-0.0005890000000000062
45,H,0.172127,0.181235,0.162297,0.009108000000000005,0.009830000000000005,0.009469000000000005
46,H,0.181309,0.180524,0.185813,-0.0007850000000000079,-0.004504000000000008,-0.002644500000000008
47,H,0.188276,0.187773,0.185794,-0.0005030000000000034,0.002482000000000012,0.0009895000000000043
48,H,0.225919,0.234863,0.211796,0.00894399999999998,0.014122999999999997,0.011533499999999988
49,H,0.277559,0.248943,0.289282,-0.028616000000000003,-0.011722999999999983,-0.020169499999999993
50,H,0.197853,0.222423,0.16527,0.02457000000000001,0.032583,0.028576500000000005
51,H,0.189465,0.206511,0.16632,0.017046000000000006,0.023145,0.020095500000000002
52,H,0.187875,0.206606,0.161332,0.018731000000000025,0.026542999999999983,0.022637000000000004
53,H,0.161066,0.182105,0.107404,0.021039000000000002,0.05366199999999999,0.037350499999999995
54,H,0.139612,0.163185,0.078993,0.023572999999999983,0.06061900000000002,0.042096
55,H,0.13409,0.155606,0.082385,0.021516000000000007,0.05170499999999999,0.0366105
56,H,0.164303,0.184541,0.10889,0.020238000000000006,0.055413000000000004,0.037825500000000005
57,H,0.250104,0.247369,0.242649,-0.0027349999999999874,0.007454999999999989,0.002360000000000001
58,H,0.159345,0.173371,0.167154,0.01402600000000001,-0.00780900000000001,0.0031085
59,H,0.161153,0.198178,0.134029,0.037025,0.02712399999999998,0.03207449999999999
60,H,0.16849,0.201616,0.150382,0.03312599999999999,0.018108000000000013,0.025617
61,H,0.171643,0.203927,0.152431,0.03228400000000001,0.01921199999999998,0.025747999999999993
62,H,0.154113,0.201297,0.135474,0.047184000000000004,0.01863899999999999,0.032911499999999996
63,H,0.161457,0.211914,0.145283,0.050457,0.016173999999999994,0.0333155
64,H,0.157693,0.201688,0.13706,0.043995000000000006,0.020633000000000012,0.03231400000000001
65,H,0.144374,0.181984,0.164956,0.037610000000000005,-0.02058199999999999,0.008514000000000008
66,H,0.136792,0.178009,0.111876,0.041217000000000004,0.024915999999999994,0.0330665
67,H,0.154104,0.202358,0.149512,0.04825400000000002,0.004591999999999985,0.026423000000000002
68,H,0.121489,0.17111,0.108961,0.04962100000000001,0.012527999999999997,0.031074500000000005
