No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.1982,-0.18863,-0.2123,0.009569999999999995,0.014100000000000001,0.011834999999999998
2,C,-0.03863,-0.0479,-0.02614,-0.00927,-0.012489999999999998,-0.010879999999999999
3,C,-0.08858,-0.0896,-0.08809,-0.0010199999999999931,-0.0004900000000000043,-0.0007549999999999987
4,C,-0.36715,-0.36693,-0.36725,0.00021999999999999797,0.0001000000000000445,0.00016000000000002124
5,C,-0.39476,-0.39463,-0.39478,0.000130000000000019,2.0000000000020002e-05,7.50000000000195e-05
6,C,-0.17074,-0.17129,-0.17044,-0.0005499999999999949,-0.0002999999999999947,-0.0004249999999999948
7,N,-0.50468,-0.49797,-0.51165,0.006709999999999994,0.006970000000000032,0.006840000000000013
8,C,0.74333,0.74117,0.74268,-0.0021600000000000508,0.0006500000000000394,-0.0007550000000000057
9,O,-0.65429,-0.66315,-0.63601,-0.008859999999999979,-0.018280000000000074,-0.013570000000000026
10,C,-0.5961,-0.59742,-0.59418,-0.0013199999999999878,-0.0019199999999999218,-0.0016199999999999548
11,C,0.74756,0.75333,0.74135,0.005770000000000053,0.006210000000000049,0.005990000000000051
12,O,-0.63228,-0.63474,-0.6498,-0.0024600000000000177,0.01752000000000009,0.007530000000000037
13,N,-0.69376,-0.69793,-0.68601,-0.004170000000000007,-0.007750000000000035,-0.005960000000000021
14,C,-0.0825,-0.08473,-0.08216,-0.002229999999999996,-0.00034000000000000696,-0.0012850000000000014
15,C,-0.40275,-0.40783,-0.39317,-0.005080000000000029,-0.009579999999999977,-0.007330000000000003
16,C,-0.03985,-0.02409,-0.04318,0.015759999999999996,0.0033300000000000066,0.009545000000000001
17,C,-0.23955,-0.23515,-0.36627,0.004400000000000015,0.12671999999999997,0.06556
18,C,-0.12515,-0.12454,-0.23518,0.0006100000000000133,0.11002999999999999,0.05532
19,Br,0.08928,0.1532,-0.01578,0.06392,0.10506,0.08449
20,C,0.28883,0.27646,0.31094,-0.012369999999999992,-0.02211000000000002,-0.017240000000000005
21,O,-0.48222,-0.47989,-0.51144,0.0023299999999999987,0.029220000000000024,0.01577500000000001
22,C,0.15857,0.16262,0.00979,0.004049999999999998,0.14878,0.076415
23,C,-0.29517,-0.28926,-0.33022,0.005909999999999971,0.035050000000000026,0.020479999999999998
24,C,-0.09251,-0.10181,-0.14569,-0.009300000000000003,0.05317999999999999,0.021939999999999994
25,C,-0.20176,-0.17573,-0.36504,0.026029999999999998,0.16327999999999998,0.09465499999999999
26,C,0.72324,0.72062,0.72903,-0.0026199999999999557,-0.005789999999999962,-0.004204999999999959
27,O,-0.66955,-0.64611,-0.67684,0.023440000000000016,0.007290000000000019,0.015365000000000018
28,N,-0.66885,-0.67179,-0.67889,-0.0029400000000000537,0.010040000000000049,0.0035499999999999976
29,C,-0.1611,-0.15671,-0.16088,0.004390000000000005,-0.00021999999999999797,0.0020850000000000035
30,C,-0.40756,-0.43503,-0.40316,-0.027469999999999994,-0.0043999999999999595,-0.015934999999999977
31,C,-0.07052,0.11573,-0.08295,0.18625,0.012429999999999997,0.09934
32,C,-0.22182,-0.22219,-0.22868,-0.0003700000000000092,0.006860000000000005,0.003244999999999998
33,C,-0.24601,-0.16216,-0.24923,0.08385000000000001,0.0032200000000000006,0.043535000000000004
34,C,0.33916,0.41898,0.34313,0.07982,-0.0039699999999999736,0.037925000000000014
35,O,-0.53628,-0.40465,-0.53561,0.13162999999999997,-0.0006699999999999484,0.06548000000000001
36,C,-0.21012,-0.22963,-0.21049,-0.01951,0.0003700000000000092,-0.009569999999999995
37,C,-0.29905,-0.22862,-0.28215,0.07042999999999999,-0.01689999999999997,0.02676500000000001
38,C,-0.18461,-0.1706,-0.17909,0.014009999999999995,-0.005519999999999997,0.004244999999999999
39,H,0.23467,0.23822,0.23019,0.0035499999999999976,0.004479999999999984,0.004014999999999991
40,H,0.22003,0.2177,0.22143,-0.0023299999999999987,-0.0013999999999999846,-0.0018649999999999917
41,H,0.21003,0.21435,0.20547,0.004320000000000018,0.004559999999999981,0.0044399999999999995
42,H,0.21825,0.22294,0.21279,0.00469,0.005459999999999993,0.005074999999999996
43,H,0.21688,0.22378,0.20989,0.006900000000000017,0.006989999999999996,0.006945000000000007
44,H,0.19986,0.19966,0.20056,-0.00020000000000000573,-0.0006999999999999784,-0.0004499999999999921
45,H,0.19102,0.19682,0.18471,0.0058,0.006309999999999982,0.006054999999999991
46,H,0.22499,0.2237,0.22829,-0.0012899999999999856,-0.0032999999999999974,-0.0022949999999999915
47,H,0.23117,0.23167,0.22975,0.0005000000000000004,0.0014199999999999768,0.0009599999999999886
48,H,0.26551,0.27409,0.25388,0.008579999999999977,0.01163000000000003,0.010105000000000003
49,H,0.42299,0.40244,0.43925,-0.020549999999999957,-0.016259999999999997,-0.018404999999999977
50,H,0.23113,0.24843,0.20865,0.01730000000000001,0.02248,0.019890000000000005
51,H,0.23505,0.24708,0.21912,0.012029999999999985,0.01593,0.013979999999999992
52,H,0.23514,0.2462,0.2173,0.011060000000000014,0.017839999999999995,0.014450000000000005
53,H,0.23494,0.24739,0.20797,0.012449999999999989,0.02697000000000002,0.019710000000000005
54,H,0.2019,0.21573,0.16959,0.013830000000000009,0.032310000000000005,0.023070000000000007
55,H,0.23318,0.24581,0.20379,0.012630000000000002,0.02939,0.02101
56,H,0.23978,0.24943,0.21073,0.00965000000000002,0.029049999999999992,0.019350000000000006
57,H,0.41623,0.40536,0.41441,-0.01086999999999999,0.0018199999999999883,-0.004525000000000001
58,H,0.19795,0.20375,0.20559,0.0058,-0.007640000000000008,-0.0009200000000000041
59,H,0.19431,0.21923,0.17814,0.024919999999999998,0.016170000000000018,0.020545000000000008
60,H,0.21699,0.24267,0.2061,0.02568000000000001,0.010889999999999983,0.018284999999999996
61,H,0.20501,0.22993,0.19325,0.024919999999999998,0.011759999999999993,0.018339999999999995
62,H,0.21297,0.24582,0.20273,0.03285000000000002,0.010239999999999999,0.02154500000000001
63,H,0.23874,0.26661,0.23027,0.027870000000000006,0.008470000000000005,0.018170000000000006
64,H,0.18897,0.21863,0.17774,0.029659999999999992,0.01122999999999999,0.02044499999999999
65,H,0.17962,0.20749,0.1985,0.027870000000000006,-0.018880000000000008,0.004494999999999999
66,H,0.16332,0.19032,0.14857,0.026999999999999996,0.014749999999999985,0.02087499999999999
