No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,-0.258318,-0.211356,-0.310203,0.046962000000000004,0.051885000000000014,0.04942350000000001
2,C,0.071552,0.076919,0.057822,0.005366999999999997,0.013730000000000006,0.009548500000000001
3,C,-0.064772,-0.068533,-0.079449,-0.0037610000000000005,0.01467700000000001,0.0054580000000000045
4,C,-0.037494,0.017259,-0.090122,0.054752999999999996,0.052627999999999994,0.053690499999999995
5,C,-0.130822,-0.115369,-0.13113,0.015452999999999995,0.0003080000000000027,0.007880499999999999
6,C,-0.033768,-0.012749,-0.080085,0.021019,0.046317000000000004,0.033668000000000003
7,C,-0.167362,-0.169249,-0.161846,-0.0018869999999999998,-0.005516000000000021,-0.0037015000000000103
8,C,-0.088923,-0.049238,-0.110508,0.039685000000000005,0.021584999999999993,0.030635
9,C,-0.011997,-0.000236,-0.041244,0.011761,0.029247000000000002,0.020504
10,C,-0.153498,-0.148839,-0.156458,0.0046589999999999965,0.002960000000000018,0.0038095000000000073
11,C,-0.123789,-0.1049,-0.182056,0.018889000000000003,0.058267,0.038578
12,C,0.26296,0.277695,0.26569,0.014734999999999998,-0.0027299999999999547,0.006002500000000022
13,F,-0.236344,-0.204291,-0.263386,0.032053,0.02704200000000001,0.029547500000000004
14,C,-0.070226,-0.002633,-0.145435,0.067593,0.07520900000000001,0.071401
15,C,-0.091543,-0.10676,-0.103279,-0.015216999999999994,0.011735999999999996,-0.001740499999999999
16,C,-0.096236,-0.118814,-0.073517,-0.022578,-0.022719000000000003,-0.022648500000000002
17,C,-0.153611,-0.109025,-0.20852,0.044586,0.05490900000000001,0.04974750000000001
18,C,-0.009548,-0.000937,-0.020616,0.008610999999999999,0.011068,0.0098395
19,O,-0.397988,-0.382187,-0.41489,0.01580100000000001,0.016901999999999973,0.01635149999999999
20,C,0.000204,0.031461,-0.006981,0.031257,0.007185,0.019221000000000002
21,C,-0.083815,-0.053794,-0.102881,0.030021,0.019066,0.0245435
22,C,0.309847,0.350995,0.273344,0.04114800000000002,0.03650300000000001,0.03882550000000001
23,F,-0.22059,-0.17671,-0.249674,0.04388,0.029084,0.036482
24,C,-0.189787,-0.1599,-0.22233,0.029887000000000025,0.03254299999999999,0.031215000000000007
25,C,-0.177494,-0.188307,-0.171287,-0.01081299999999999,-0.006207000000000018,-0.008510000000000004
26,C,0.531107,0.540843,0.52225,0.009735999999999967,0.008857000000000004,0.009296499999999985
27,F,-0.250551,-0.244958,-0.254521,0.005593000000000015,0.0039699999999999736,0.004781499999999994
28,F,-0.24125,-0.221864,-0.256916,0.019385999999999987,0.015665999999999985,0.017525999999999986
29,N,-0.406266,-0.411544,-0.397321,-0.005278000000000005,-0.008945000000000036,-0.007111500000000021
30,C,0.552004,0.558734,0.544737,0.006729999999999903,0.0072670000000000234,0.006998499999999963
31,N,-0.528019,-0.511564,-0.54191,0.016454999999999997,0.013890999999999987,0.015172999999999992
32,O,-0.339139,-0.320931,-0.354197,0.018208000000000002,0.01505799999999996,0.01663299999999998
33,C,0.010733,0.022689,0.003677,0.011956000000000001,0.007056,0.009506
34,C,-0.241912,-0.230466,-0.251409,0.011445999999999984,0.009497000000000005,0.010471499999999995
35,C,-0.245176,-0.253519,-0.239105,-0.00834299999999999,-0.006070999999999993,-0.007206999999999991
36,C,0.351857,0.374358,0.336146,0.02250100000000005,0.015710999999999975,0.019106000000000012
37,F,-0.205587,-0.18078,-0.224897,0.024806999999999996,0.01931000000000002,0.02205850000000001
38,C,0.016656,0.041821,0.017276,0.025164999999999996,-0.000619999999999999,0.012272499999999999
39,H,0.148781,0.183888,0.113078,0.035107,0.035703,0.035405
40,H,0.139536,0.173185,0.104991,0.03364900000000001,0.03454499999999999,0.034097
41,H,0.14595,0.172095,0.116479,0.026145,0.029470999999999997,0.027808
42,H,0.155151,0.180372,0.120233,0.025220999999999993,0.034918000000000005,0.0300695
43,H,0.151509,0.187908,0.110504,0.03639899999999999,0.041005,0.03870199999999999
44,H,0.159239,0.170385,0.144837,0.011146000000000017,0.014401999999999998,0.012774000000000008
45,H,0.167274,0.179055,0.152287,0.011780999999999986,0.014987,0.013383999999999993
46,H,0.256299,0.261097,0.249592,0.0047980000000000245,0.006706999999999991,0.005752500000000008
47,H,0.15954,0.179707,0.139227,0.020167000000000018,0.020312999999999998,0.020240000000000008
48,H,0.1582,0.189666,0.127638,0.031465999999999994,0.030562000000000006,0.031014
49,H,0.138171,0.148014,0.132214,0.009843000000000018,0.00595699999999999,0.007900000000000004
50,H,0.256701,0.26229,0.252598,0.005589000000000011,0.004103000000000023,0.004846000000000017
51,H,0.249727,0.262553,0.238114,0.012825999999999976,0.011613000000000012,0.012219499999999994
52,H,0.165969,0.153003,0.179597,-0.012966000000000005,-0.013628000000000001,-0.013297000000000003
53,H,0.169629,0.192273,0.149339,0.022643999999999997,0.020290000000000002,0.021467
54,H,0.161376,0.164717,0.161057,0.0033410000000000106,0.00031899999999998596,0.0018299999999999983
55,H,0.201173,0.221429,0.183047,0.020255999999999996,0.018126000000000003,0.019191
56,H,0.164681,0.185042,0.150401,0.020361000000000018,0.014279999999999987,0.017320500000000003
