No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,N,-0.30813,-0.24428,-0.38066,0.06385000000000002,0.07252999999999998,0.06819
2,C,0.29318,0.26349,0.31434,-0.029689999999999994,-0.021160000000000012,-0.025425000000000003
3,C,-0.17138,-0.16109,-0.21375,0.010289999999999994,0.04236999999999999,0.026329999999999992
4,C,-0.15152,-0.07787,-0.21674,0.07365,0.06522,0.069435
5,C,-0.19322,-0.17648,-0.19578,0.016740000000000005,0.0025600000000000067,0.009650000000000006
6,C,-0.16355,-0.14471,-0.22808,0.018839999999999996,0.06453,0.041685
7,C,-0.04892,-0.0349,-0.05589,0.014019999999999998,0.006970000000000004,0.010495
8,C,-0.12083,-0.01762,-0.15991,0.10321000000000001,0.03907999999999999,0.071145
9,C,0.00278,0.05179,-0.05506,0.049010000000000005,0.057839999999999996,0.053425
10,C,-0.03818,-0.0149,-0.06654,0.02328,0.028360000000000003,0.025820000000000003
11,C,-0.2726,-0.27064,-0.3482,0.0019600000000000173,0.0756,0.03878000000000001
12,C,0.45006,0.47613,0.45281,0.026069999999999982,-0.0027499999999999747,0.011660000000000004
13,F,-0.34763,-0.32198,-0.368,0.025650000000000006,0.02037,0.023010000000000003
14,C,-0.23985,-0.15858,-0.32768,0.08127000000000001,0.08783000000000002,0.08455000000000001
15,C,-0.09335,-0.08639,-0.14543,0.006960000000000008,0.05208,0.029520000000000005
16,C,-0.02682,-0.07599,0.02178,-0.049170000000000005,-0.048600000000000004,-0.048885
17,C,-4e-05,0.06754,-0.08585,0.06758,0.08581,0.076695
18,C,-0.078,-0.08712,-0.06868,-0.009120000000000003,-0.009319999999999995,-0.009219999999999999
19,O,-0.70833,-0.69562,-0.72278,0.012709999999999999,0.014449999999999963,0.013579999999999981
20,C,-0.17419,-0.13177,-0.16279,0.04242000000000001,-0.011400000000000021,0.015509999999999996
21,C,-0.27546,-0.2813,-0.28643,-0.005840000000000012,0.010970000000000035,0.0025650000000000117
22,C,0.47166,0.54002,0.42569,0.06835999999999992,0.04597000000000001,0.057164999999999966
23,F,-0.34212,-0.30495,-0.36522,0.03716999999999998,0.02310000000000001,0.030134999999999995
24,C,-0.17651,-0.09205,-0.26241,0.08446,0.08589999999999998,0.08517999999999998
25,C,0.07382,0.06228,0.08123,-0.011539999999999995,-0.00741,-0.009474999999999997
26,C,0.68155,0.68437,0.67886,0.0028200000000000447,0.00268999999999997,0.0027550000000000074
27,F,-0.3839,-0.38054,-0.38615,0.0033600000000000296,0.0022499999999999742,0.002805000000000002
28,F,-0.38073,-0.36451,-0.3941,0.016220000000000012,0.013369999999999993,0.014795000000000003
29,N,-0.64699,-0.66024,-0.63031,-0.013250000000000095,-0.016679999999999917,-0.014965000000000006
30,C,0.79092,0.80028,0.78042,0.009360000000000035,0.010499999999999954,0.009929999999999994
31,N,-0.80963,-0.79565,-0.8209,0.013979999999999992,0.011270000000000002,0.012624999999999997
32,O,-0.56825,-0.55413,-0.57919,0.014120000000000021,0.01093999999999995,0.012529999999999986
33,C,0.11283,0.12257,0.10785,0.009739999999999999,0.004979999999999998,0.0073599999999999985
34,C,-0.35546,-0.3473,-0.36278,0.00816,0.007319999999999993,0.007739999999999997
35,C,-0.28582,-0.29078,-0.27855,-0.0049599999999999644,-0.007269999999999999,-0.0061149999999999816
36,C,0.48822,0.47256,0.4931,-0.015660000000000007,-0.0048799999999999955,-0.010270000000000001
37,F,-0.33669,-0.31671,-0.35157,0.019979999999999998,0.014880000000000004,0.01743
38,C,-0.13957,-0.11332,-0.12725,0.026249999999999996,-0.012319999999999998,0.006964999999999999
39,H,0.22314,0.24135,0.20392,0.018210000000000004,0.019220000000000015,0.01871500000000001
40,H,0.21727,0.23846,0.19692,0.021190000000000014,0.02034999999999998,0.020769999999999997
41,H,0.21977,0.23386,0.20587,0.01409000000000002,0.013899999999999996,0.013995000000000007
42,H,0.23404,0.24901,0.21669,0.014970000000000011,0.017350000000000004,0.016160000000000008
43,H,0.23654,0.25538,0.21445,0.018839999999999996,0.02209,0.020464999999999997
44,H,0.18209,0.19284,0.16845,0.01075000000000001,0.013640000000000013,0.012195000000000011
45,H,0.20297,0.21368,0.19044,0.010709999999999997,0.012530000000000013,0.011620000000000005
46,H,0.4547,0.45792,0.45077,0.0032200000000000006,0.003929999999999989,0.003574999999999995
47,H,0.22943,0.23704,0.21938,0.007610000000000006,0.010050000000000003,0.008830000000000005
48,H,0.23958,0.26066,0.22286,0.021080000000000015,0.016719999999999985,0.0189
49,H,0.14615,0.15188,0.14418,0.005729999999999985,0.0019699999999999995,0.0038499999999999923
50,H,0.39813,0.40236,0.39498,0.0042300000000000115,0.003149999999999986,0.003689999999999999
51,H,0.39112,0.40045,0.38267,0.00932999999999995,0.008450000000000013,0.008889999999999981
52,H,0.18407,0.17326,0.19535,-0.010810000000000014,-0.011279999999999984,-0.011045
53,H,0.22698,0.2418,0.21389,0.01482,0.01308999999999999,0.013954999999999995
54,H,0.22354,0.2236,0.22514,6.0000000000004494e-05,-0.001600000000000018,-0.0007700000000000068
