No,Atom,n,n+1,n-1,fk+,fk-,fk0
1,C,-0.208747,-0.237809,,-0.029062000000000004,,
2,O,-0.38444,-0.284562,,0.09987800000000002,,
3,C,0.215213,0.254035,,0.03882200000000002,,
4,C,-0.14983,-0.08134,,0.06849,,
5,C,-0.10797,-0.06725,,0.04071999999999999,,
6,C,-0.087467,0.029267,,0.116734,,
7,C,-0.121249,-0.146221,,-0.024971999999999994,,
8,C,-0.042057,0.004568,,0.046625,,
9,C,-0.278758,-0.278322,,0.00043599999999999195,,
10,C,-0.079516,-0.089969,,-0.01045299999999999,,
11,C,-0.054199,-0.046006,,0.008192999999999999,,
12,C,-0.142056,-0.128253,,0.013802999999999982,,
13,C,-0.138132,-0.123382,,0.01475,,
14,C,-0.109085,-0.102511,,0.0065739999999999965,,
15,C,-0.066634,-0.0597,,0.006933999999999996,,
16,C,-0.293362,-0.298706,,-0.005344000000000015,,
17,C,-0.264251,-0.266171,,-0.0019199999999999773,,
18,C,0.431499,0.426455,,-0.0050440000000000484,,
19,O,-0.411595,-0.372625,,0.038970000000000005,,
20,N,-0.412699,-0.403558,,0.00914100000000001,,
21,C,-0.139798,-0.147705,,-0.007906999999999997,,
22,C,-0.276751,-0.281421,,-0.004669999999999952,,
23,C,-0.121647,-0.114938,,0.006709000000000007,,
24,C,-0.127428,-0.121406,,0.0060220000000000135,,
25,C,-0.145265,-0.137802,,0.007462999999999997,,
26,C,-0.11126,-0.103169,,0.008091000000000001,,
27,C,-0.129474,-0.132796,,-0.0033219999999999916,,
28,C,-0.061502,-0.074472,,-0.012969999999999995,,
29,C,0.458799,0.461695,,0.0028960000000000097,,
30,O,-0.374705,-0.38819,,-0.01348499999999997,,
31,N,-0.429636,-0.427463,,0.002173000000000036,,
32,C,-0.07096,-0.074241,,-0.003281000000000006,,
33,C,0.188087,0.183156,,-0.004930999999999991,,
34,N,-0.279126,-0.271062,,0.00806399999999996,,
35,C,-0.050717,-0.049728,,0.0009889999999999968,,
36,C,-0.30653,-0.306592,,-6.199999999995098e-05,,
37,C,-0.310388,-0.308519,,0.0018690000000000095,,
38,C,-0.083858,-0.087869,,-0.004011000000000001,,
39,O,-0.38119,-0.384132,,-0.002942,,
40,H,0.154696,0.201372,,0.046675999999999995,,
41,H,0.136941,0.180976,,0.04403499999999999,,
42,H,0.141265,0.183501,,0.042235999999999996,,
43,H,0.139516,0.193096,,0.05357999999999999,,
44,H,0.122521,0.180199,,0.05767799999999999,,
45,H,0.125774,0.194387,,0.06861300000000001,,
46,H,0.188066,0.227531,,0.039465,,
47,H,0.177712,0.193504,,0.015792,,
48,H,0.123634,0.131003,,0.007369000000000014,,
49,H,0.148542,0.169418,,0.020876000000000006,,
50,H,0.122453,0.146563,,0.024109999999999993,,
51,H,0.134536,0.152746,,0.018210000000000004,,
52,H,0.173994,0.185809,,0.011814999999999992,,
53,H,0.179079,0.206316,,0.02723700000000001,,
54,H,0.203396,0.225783,,0.022387000000000018,,
55,H,0.285948,0.26574,,-0.020208000000000004,,
56,H,0.209229,0.224359,,0.015130000000000005,,
57,H,0.201272,0.208622,,0.007349999999999995,,
58,H,0.15531,0.176066,,0.020755999999999997,,
59,H,0.149755,0.162586,,0.012831000000000009,,
60,H,0.124644,0.142331,,0.01768700000000001,,
61,H,0.123298,0.137255,,0.013956999999999983,,
62,H,0.122957,0.116919,,-0.006038000000000002,,
63,H,0.139491,0.114365,,-0.02512600000000001,,
64,H,0.265158,0.272155,,0.0069969999999999755,,
65,H,0.222906,0.22364,,0.0007340000000000124,,
66,H,0.189415,0.19603,,0.00661500000000001,,
67,H,0.182048,0.19076,,0.008712000000000025,,
68,H,0.176258,0.175138,,-0.0011200000000000099,,
69,H,0.166396,0.176219,,0.009822999999999998,,
70,H,0.163859,0.172235,,0.008375999999999995,,
71,H,0.162082,0.171372,,0.009289999999999993,,
72,H,0.146535,0.140719,,-0.005815999999999988,,
